model,precision,recall,f1,f1_std,auc,auc_std,fpr_pct,tuned_threshold,tuned_precision,tuned_recall,tuned_f1,tuned_fpr_pct
Logistic regression,0.089,0.121,0.102,0.000,0.954,0.000,0.36,0.993,0.131,0.054,0.077,0.10
Random forest,0.254,0.068,0.105,0.008,0.911,0.003,0.06,0.745,0.138,0.113,0.119,0.23
Isolation forest,0.007,0.948,0.013,0.000,0.791,0.006,40.54,0.996,0.001,0.072,0.002,3.51
Deep autoencoder,0.003,1.000,0.006,0.000,0.545,0.005,100.00,1.000,0.167,0.004,0.008,0.01
Proposed hybrid,0.003,1.000,0.006,0.000,0.800,0.005,99.34,1.000,0.003,0.010,0.005,0.56
