model,precision,recall,f1,f1_std,auc,auc_std,fpr_pct,tuned_threshold,tuned_precision,tuned_recall,tuned_f1,tuned_fpr_pct
Logistic regression,0.000,1.000,0.001,0.000,0.940,0.000,50.68,1.000,0.002,0.888,0.003,13.49
Random forest,0.083,0.665,0.147,0.021,0.997,0.000,0.18,0.951,0.188,0.431,0.259,0.05
Isolation forest,0.000,0.458,0.001,0.000,0.570,0.015,41.44,1.000,0.001,0.038,0.001,1.50
Deep autoencoder,0.000,0.909,0.000,0.000,0.441,0.040,92.33,1.000,0.001,0.001,0.001,0.03
Proposed hybrid,0.000,0.769,0.000,0.000,0.525,0.016,75.16,0.998,0.000,0.073,0.000,5.25
