model,precision,recall,f1,f1_std,auc,auc_std,fpr_pct,tuned_threshold,tuned_precision,tuned_recall,tuned_f1,tuned_fpr_pct
Logistic regression,0.000,1.000,0.001,0.000,0.940,0.000,50.68,1.000,0.002,0.888,0.003,13.49
Random forest,0.083,0.665,0.147,0.021,0.997,0.000,0.18,0.951,0.188,0.431,0.259,0.05
Isolation forest,0.000,0.380,0.000,0.000,0.469,0.012,41.50,0.999,0.000,0.059,0.001,3.36
Deep autoencoder,0.000,0.953,0.000,0.000,0.466,0.040,93.27,0.939,0.000,0.830,0.000,81.29
Proposed hybrid,0.000,0.721,0.000,0.000,0.481,0.018,75.58,0.986,0.000,0.186,0.001,18.21
